Year;Occasion;Word;Option1;Option2;Option3;Option4;Option5;CorrectAnswer
2019;2;plädering;umgängesregel;undersökning;uppskattning;utläggning;ursäkt;utläggning
2019;2;påföljd;avslut;börda;tillskott;straff;orsak;straff
2019;2;stipulera;fastställa;uträtta;konfrontera;betala;förneka;fastställa
2019;2;tillika;sammanlagt;dessutom;eventuellt;fullständigt;exempelvis;dessutom
2019;2;tämligen;lagom;utan tvekan;typiskt;rätt så;faktiskt;rätt så
2019;2;ynnest;förmån;hyllning;begåvning;överdrift;förlåtelse;förmån
2020;2;bojkotta;tala illa om;göra sig fri från;vägra befatta sig med;göra slut på;förstöra för;vägra befatta sig med
2020;2;brysk;tanklös;sur och grinig;beslutsam;tvär och ovänlig;trotsig;tvär och ovänlig
2020;2;bräcka;utbrista;avdela;överträffa;avbryta;utforma;överträffa
2020;2;forcera;krocka;försvåra;plåga;fullfölja;påskynda;påskynda
2020;2;framstöt;planering;initiativ;uppvisning;tillfälle;yttrande;initiativ
2020;2;gourmand;munter person;kunnig person;argsint person;omtyckt person;matglad person;matglad person
2020;2;hemställan;vägran;begäran;förhoppning;tillstånd;väntetid;begäran
2020;2;jargong;en positiv stämning;ett vänligt bemötande;en grupps språkbruk;ett trångt utrymme;en välljudande klang;en grupps språkbruk
2020;2;kognitiv;intetsägande;som gäller kroppen;angelägen;som rör intellektet;fantasieggande;som rör intellektet
2020;2;konfederation;kungadöme;förbund av stater;stödparti;nation med folkstyre;republik;förbund av stater
2020;2;kriterium;kännetecken;uppfattning;följdverkan;möjlighet;anledning;kännetecken
2020;2;reprimand;erkännande;tillrättavisning;efterkontroll;påhälsning;återseende;tillrättavisning
2020;2;resiliens;framgång;nedrustning;återhämtningsförmåga;bakåtsträvan;avståndstagande;återhämtningsförmåga
2020;2;röse;skräp;milstolpe;fälla;stenhög;grop;stenhög
2020;2;samvetsgrann;plikttrogen;ångerfull;hjälpsam;omoralisk;förlåtande;plikttrogen
2020;2;seminarium;inledande dialog;kort presentation;individuell undervisning;större sammanträdesrum;kunskapshöjande diskussion;kunskapshöjande diskussion
2020;2;trollbinda;förhindra;fascinera;bluffa;förvirra;överraska;fascinera
2020;2;utsiktslöst;enformigt;instängt;obetydligt;avlägset;hopplöst;hopplöst
2020;2;väsensskild;innehållslös;overklig;motbjudande;obetydlig;annorlunda;annorlunda
2020;2;ymnigt;rikligt;fuktigt;virrigt;ljudligt;smakligt;rikligt
2021;2;affekt;stor glädje;nyfikenhet;stark sinnesrörelse;känslokyla;total förvirring;stark sinnesrörelse
2021;2;anekdot;gissning;diskret gest;noggrann redogörelse;kort berättelse;motsättning;kort berättelse
2021;2;avsevärt;ganska;korrekt;betydligt;välriktat;fullständigt;betydligt
2021;2;gastkramande;farlig;smärtsam;kallsinnig;spännande;livrädd;spännande
2021;2;hänryckt;i kris;i fred;i konflikt;i extas;i fara;i extas
2021;2;insinuera;antyda;gissa;berömma;ljuga;misstänka;antyda
2021;2;koffert;sybord;lång rock;lastpall;klädförråd;stor resväska;stor resväska
2021;2;korrespondens;inbjudan;brevväxling;enkätsvar;summering;överenskommelse;brevväxling
2021;2;mellanting;samspel;anknytning;uppehåll;motsvarighet;blandning;blandning
2021;2;näsbränna;tillrättavisning;besvikelse;felbedömning;svårighet;förolämpning;tillrättavisning
2021;2;obstinat;trotsig;okunnig;nyfiken;slarvig;högljudd;trotsig
2021;2;otjänlig;otydlig;orättvis;oanvändbar;obegriplig;otillgänglig;oanvändbar
2021;2;parkas;tält;jacka;målarduk;bäddsoffa;draghund;jacka
2021;2;pådrag;sensationell nyhet;oönskad publicitet;rättslig följd;insättning av resurser;oväntat motstånd;insättning av resurser
2021;2;reklamera;prata om;intyga;märka ut;återvinna;anmärka på;anmärka på
2021;2;sargad;lurad;straffad;upprörd;skadad;trängd;skadad
2021;2;stävja;påstå;mjuka upp;uppmuntra;röra ihop;motverka;motverka
2021;2;upptakt;inledning;markering;refräng;anvisning;förslag;inledning
2021;2;ämbete;karriär;tillfälligt uppdrag;fin utmärkelse;högre befattning;administration;högre befattning
2021;2;åtnjuta;ha;be;nå;ge;ta;ha
2022;1;alternera;bygga om;ersätta;förnya sig;erbjuda;turas om;turas om
2022;1;arabesk;stjärnhimmel;spritdryck;aftonsång;byggnad;utsmyckning;utsmyckning
2022;1;av hävd;av intresse;av tradition;av lojalitet;av misstag;av själviskhet;av tradition
2022;1;baxa;tynga;krossa;förflytta;hindra;kasta;förflytta
2022;1;bemöda sig;opponera sig;utstå kritik;behärska sig;vägra lyda;anstränga sig;anstränga sig
2022;1;besinning;lugn;nervositet;tvivel;känslighet;obehag;lugn
2022;1;bestörtning;aggression;livsfarlig manöver;förskräckelse;plötslig förändring;missnöje;förskräckelse
2022;1;emanciperad;frigjord;nyfiken;påhittig;begåvad;sällskaplig;frigjord
2022;1;falang;regelverk;gruppering;musikstycke;utbyggnad;klädesplagg;gruppering
2022;1;foajé;matsal;arbetsrum;entréhall;klädkammare;vindsrum;entréhall
2022;1;fordran;krav;förskott;återbäring;sparkapital;inbetalning;krav
2022;1;freda sig;ge sig;isolera sig;behärska sig;vila upp sig;skydda sig;skydda sig
2022;1;hedonist;sällskapsmänniska;ordningsmänniska;njutningsmänniska;vanemänniska;idealmänniska;njutningsmänniska
2022;1;hänförd;utvisad;tankspridd;bedragen;tillfredsställd;förtjust;förtjust
2022;1;hålla låda;stå stadigt;prata oavbrutet;bjuda på fest;behärska sig;invänta svar;prata oavbrutet
2022;1;implementera;delta i;avskaffa;lägga sig i;genomföra;strunta i;genomföra
2022;1;inrådan;erbjudande;uppmaning;bestämmelse;medverkan;påstående;uppmaning
2022;1;kadaver;död djurkropp;missfoster;rituellt offer;rovdjur;mänskligt vrak;död djurkropp
2022;1;koherent;begränsad;föränderlig;sammanhängande;fördjupad;användbar;sammanhängande
2022;1;konstellation;uppdrag;gruppering;påverkan;förberedelse;omflyttning;gruppering
2022;1;kopiöst;likartat;enormt;overkligt;överskattat;exemplariskt;enormt
2022;1;marodör;lögnare;ensamvarg;djurtämjare;skadegörare;ryttare;skadegörare
2022;1;modstulet;envist;sorglöst;uppgivet;bortglömt;oförskräckt;uppgivet
2022;1;naturtroget;enkelspårigt;oskuldsfullt;mycket likt;hälsosamt;variationsrikt;mycket likt
2022;1;nidbild;fantasifull skildring;elak beskrivning;lös sammansättning;allmän uppfattning;realistisk framställning;elak beskrivning
2022;1;premiss;förutsättning;försäkran;förteckning;föraning;förbindelse;förutsättning
2022;1;prolog;inledning;beskrivning;sammanfattning;tillbakablick;slutord;inledning
2022;1;proviant;ryggsäck;färdkost;reskassa;planering;regnskydd;färdkost
2022;1;reflektera;betvivla;säga ifrån;motbevisa;tänka igenom;återberätta;tänka igenom
2022;1;sekundär;avvikande;stödjande;försämrad;omedelbar;underordnad;underordnad
2022;1;slagkraftig;stabil;uthållig;impulsiv;verkningsfull;svårknäckt;verkningsfull
2022;1;solitär;stabil grund;pålitlig källa;hjälparbetare;förmögen person;ensamlevande växt;ensamlevande växt
2022;1;spjuver;spejare;luffare;jägare;skämtare;lögnare;skämtare
2022;1;späck;vagn;lukt;hatt;kruka;fett;fett
2022;1;substantiell;väsentlig;överlägsen;frikostig;fördjupad;omsorgsfull;väsentlig
2022;1;textur;utfyllnad;formbarhet;innehåll;ytbeskaffenhet;tjocklek;ytbeskaffenhet
2022;1;transparens;översikt;utsöndring;öppenhet;utbredning;förvandling;öppenhet
2022;1;varsko;upptäcka;beklaga;förvarna;inbilla;bevara;förvarna
2022;1;villrådig;driven;spontan;obeslutsam;krävande;hjälpsam;obeslutsam
2022;1;vital;livskraftig;hoppfull;ombytlig;fullvuxen;uppmärksam;livskraftig
2022;2;antipati;motsats;motvilja;motgång;motkraft;motsägelse;motvilja
2022;2;avsteg;stort misstag;olyckshändelse;mindre avvikelse;helomvändning;oväntat beslut;mindre avvikelse
2022;2;blidka;ångra sig bittert;lämna i fred;göra mer vänligt inställd;inge förtroende;be om en tjänst;göra mer vänligt inställd
2022;2;blottlagd;känslosam;värdelös;synliggjord;övergiven;undanröjd;synliggjord
2022;2;enträgen;naiv;grinig;självisk;outtröttlig;eftertänksam;outtröttlig
2022;2;framsynthet;förhoppning;upplysning;övertygelse;utveckling;förutseende;förutseende
2022;2;fördärva;förbruka;förfalska;förkasta;förstöra;förnedra;förstöra
2022;2;galax;himlakropp;spiralform;tidsrymd;stjärnsystem;planetformation;stjärnsystem
2022;2;gravt;ödsligt;skenbart;allvarligt;knappt;dolt;allvarligt
2022;2;heterogen;hållbar;olikartad;i fast form;naturell;dubbelsidig;olikartad
2022;2;inhemsk;som har vissa brister;som uppskattas av många;som hör till det egna landet;som kan verka obehaglig;som har använts tidigare;som hör till det egna landet
2022;2;mantra;bibelcitat;takmålning;meditationsformel;lyckoamulett;symmetrisk bild;meditationsformel
2022;2;mitos;celldelning;uttorkning;blödning;sårläkning;befruktning;celldelning
2022;2;modest;snäll;pålitlig;utmanande;populär;blygsam;blygsam
2022;2;raljera;visa intresse;blanda ihop;granska noga;skära upp;skämta ironiskt;skämta ironiskt
2022;2;revidera;påpeka;hindra;ersätta;ändra;förneka;ändra
2022;2;signifikans;undantag;skillnad;måluppfyllelse;uppfattning;betydelse;betydelse
2022;2;som en osalig ande;naiv och godtrogen;orolig och rastlös;sviken och olycklig;hård och känslokall;hatisk och hämndlysten;orolig och rastlös
2022;2;terapeutisk;läkande;beskrivande;lätthanterlig;förebyggande;långsiktig;läkande
2022;2;utan pardon;utan tröst;utan hjälp;utan skydd;utan tvivel;utan nåd;utan nåd
2023;1;baryton;notställ;pianostycke;röstläge;slagverkare;taktpinne;röstläge
2023;1;begrunda;tillägna sig;instämma i;ta itu med;fundera på;besluta sig för;fundera på
2023;1;cementera;slutföra;jämna till;göra avtryck;stänga inne;göra beständig;göra beständig
2023;1;emballage;symbol;förpackning;underhåll;avspärrning;handelsförbud;förpackning
2023;1;extravagans;överdåd;värdighet;merkostnad;passion;övermod;överdåd
2023;1;framfusig;nytänkande;självsäker;uppjagad;förväntansfull;påträngande;påträngande
2023;1;förespråka;reflektera;reservera;rekommendera;resonera;regissera;rekommendera
2023;1;ge sig till tåls;ta sitt ansvar;vara i underläge;fatta ett beslut;lugnt invänta något;visa sin styrka;lugnt invänta något
2023;1;hereditet;ensamhet;vänlighet;fromhet;sjuklighet;ärftlighet;ärftlighet
2023;1;ihärdig;snabb och explosiv;hård och okänslig;envis och uthållig;ivrig och hoppfull;erfaren och duktig;envis och uthållig
2023;1;klädsam;blyg;ytlig;modern;enkel;passande;passande
2023;1;lasyr;finslipad yta;genomskinlig färg;stilfull dekoration;oönskad beläggning;förgrenat mönster;genomskinlig färg
2023;1;maxim;reaktion;jämvikt;slutresultat;förbindelse;levnadsregel;levnadsregel
2023;1;med nöd och näppe;av tvång;till slut;nästan inte;på pricken;utan problem;nästan inte
2023;1;obefogad;grundlös;maktlös;ansvarslös;gränslös;meningslös;grundlös
2023;1;rågad;kraftig;bristfällig;åtgärdad;överfull;avslutad;överfull
2023;1;tidvis;ofta;förut;punktligt;ibland;numera;ibland
2023;1;trollbunden;inbillad;fascinerad;grundlurad;förvirrad;överraskad;fascinerad
2023;1;utfall;minskning;avvikelse;sannolikhet;resultat;överskott;resultat
2023;1;vag;obestämd;avlägsen;betydelselös;tillfällig;ostadig;obestämd
2023;2;biopsi;blodgivning;ärrbildning;röntgenbild;vävnadsprov;transplantation;vävnadsprov
2023;2;cerebral;som orsakar smärta;som gäller hjärnan;som rör synen;som beror på kosten;som sker reflexmässigt;som gäller hjärnan
2023;2;dementera;sörja;förneka;ljuga;förbjuda;störa;förneka
2023;2;detronisera;utmana;avsätta;förakta;avböja;utvisa;avsätta
2023;2;enveten;exakt;erfaren;envis;egoistisk;enkelriktad;envis
2023;2;fruktlös;mager;utan innehåll;som inte ger resultat;utan anledning;ofullständig;som inte ger resultat
2023;2;galosch;filthatt;slipsnål;högtidsdräkt;slängkappa;gummisko;gummisko
2023;2;hemsökelse;utbredd plåga;rastlöshet;formell begäran;uppståndelse;personligt erbjudande;utbredd plåga
2023;2;ingivelse;oväntad gåva;plötslig impuls;tillfällig lättnad;snabb förändring;positivt besked;plötslig impuls
2023;2;klander;orimligt antagande;osann uppgift;ogillande anmärkning;omild behandling;olyckligt misstag;ogillande anmärkning
2023;2;kvintessensen;medelvägen;det synliga;den större delen;det väsentliga;avbildningen;det väsentliga
2023;2;löpa amok;gå vilse;få raserianfall;vara försenad;bli överlycklig;ramla omkull;få raserianfall
2023;2;medaljens baksida;orsaken;undantaget;motståndet;nackdelen;resultatet;nackdelen
2023;2;ombesörja;ångra;tillåta;tvivla;upprepa;ordna;ordna
2023;2;omsorgsfull;noggrann;trevlig;bekymrad;tankfull;inställsam;noggrann
2023;2;proper;stolt;måttfull;allvarlig;förmögen;välvårdad;välvårdad
2023;2;påtaglig;bekant;särskild;passande;hastig;märkbar;märkbar
2023;2;tjänlig;lärorik;begriplig;användbar;tillgänglig;lättskött;användbar
2023;2;uppsåtligen;med avsikt;av välvilja;i förtroende;på rätt sätt;utan tvekan;med avsikt
2023;2;vara avhängig av;stå ut med;räknas in i;bero på;utsättas för;ha tilltro till;bero på
2024;1;aktad;respekterad;högtidlig;artig;försiktig;undanskymd;respekterad
2024;1;angeläget;tydligt;utmanande;informativt;noggrant;viktigt;viktigt
2024;1;appell;löfte;misstanke;vädjan;övertygelse;intryck;vädjan
2024;1;autodidakt;pålitlig person;mäktig person;egoistisk person;inbunden person;självlärd person;självlärd person
2024;1;axplock;slumpartat urval;enformigt arbete;förstahandsval;kvalificerad gissning;stor noggrannhet;slumpartat urval
2024;1;bärkraft;avlagring;prestation;tryck;hållbarhet;försörjning;hållbarhet
2024;1;debacle;klarhet;omröstning;misslyckande;tillfällighet;förbättring;misslyckande
2024;1;dispyt;brist;gräl;tvekan;besvikelse;undantag;gräl
2024;1;egalitär;jämlik;tillfällig;obekymrad;välvillig;ursprunglig;jämlik
2024;1;exceptionell;nyanserad;högtidlig;sällsynt;överdriven;uttrycksfull;sällsynt
2024;1;försegla;upphöra;tillsluta;undersöka;avgöra;omringa;tillsluta
2024;1;gentemot;nära intill;bortsett från;som alternativ till;med tanke på;i förhållande till;i förhållande till
2024;1;illa åtgången;helt uttorkad;nästan slut;mycket ledsen;svårt angripen;lämnad utanför;svårt angripen
2024;1;intrikat;invecklad;intensiv;inställsam;intressant;inåtvänd;invecklad
2024;1;kavalkad;kort historia;utvald grupp;lång rad;tapper skara;begränsad mängd;lång rad
2024;1;rata;granska;avvisa;fastställa;ifrågasätta;samordna;avvisa
2024;1;supplement;överskott;urval;innehåll;tillägg;understöd;tillägg
2024;1;tillkännage;anropa;meddela;besvara;instämma;efterfråga;meddela
2024;1;utarmad;fri;farlig;förlamad;fattig;feg;fattig
2024;1;vegetera;tala gåtfullt;vara generös;leva i overksamhet;besvära i onödan;sprida oro;leva i overksamhet
2024;2;bestående;fullständig;principfast;ordinarie;permanent;trovärdig;permanent
2024;2;bordlägga;tilltala;intyga;motstå;förevisa;uppskjuta;uppskjuta
2024;2;empati;hjälpsamhet;uppskattning;tillgivenhet;inlevelseförmåga;ömsesidighet;inlevelseförmåga
2024;2;förlora målföret;ge upp;bli stum;gå vilse;hamna efter;mista förståndet;bli stum
2024;2;handräckning;hjälp;ansträngning;medgivande;hänvisning;tröst;hjälp
2024;2;haverera;ge sig;ta med sig;dra ut på tiden;jämnas ut;gå sönder;gå sönder
2024;2;hysa agg;vara spydig;kritisera;vara fientligt inställd;irritera;göra någon illa;vara fientligt inställd
2024;2;händelsevis;helt plötsligt;upprepade gånger;i tur och ordning;av en tillfällighet;då och då;av en tillfällighet
2024;2;kontinuum;upplösning;evigt liv;motsatsförhållande;obruten följd;förlängning;obruten följd
2024;2;krill;korall;sjögräs;parasit;kräftdjur;grodyngel;kräftdjur
2024;2;mothugg;svårighet;häftig kritik;misslyckande;spontan reflex;förräderi;häftig kritik
2024;2;osökt;rättvist;naturligt;intressant;hoppfullt;viktigt;naturligt
2024;2;porös;uttorkad;innehållslös;kompakt;genomsläpplig;fjädrande;genomsläpplig
2024;2;restriktiv;bestämd;ordentlig;påfrestande;motvillig;återhållsam;återhållsam
2024;2;sank;stenig;gropig;sumpig;halkig;risig;sumpig
2024;2;soliditet;god hälsa;rationell lösning;orsakssamband;finansiell stabilitet;styrkedemonstration;finansiell stabilitet
2024;2;spänst;uthållighet;styrka och smidighet;följsamhet;balans och kontroll;snabbhet;styrka och smidighet
2024;2;särdrag;avvikande åsikt;skiljelinje;klokt agerande;diskriminering;utmärkande egenskap;utmärkande egenskap
2024;2;taktfull;snabb;högljudd;finkänslig;noggrann;uthållig;finkänslig
2024;2;vimmelkantig;yr;trött;osäker;klumpig;hjälplös;yr
2025;1;aversion;motsats;bestämdhet;förtvivlan;besvikelse;motvilja;motvilja
2025;1;basal;hållbar;underförstådd;vardaglig;grundläggande;genomtänkt;grundläggande
2025;1;bistå;vakta;hålla ihop;närvara;stanna kvar;hjälpa;hjälpa
2025;1;defekt;olycka;brist;obehag;tröghet;misstag;brist
2025;1;diger;härlig;stor;underlig;djup;smaklig;stor
2025;1;eskapader;hemligheter;genvägar;drömmar;äventyr;förklädnader;äventyr
2025;1;fingerad;fastställd;praktisk;berörd;påhittad;reserverad;påhittad
2025;1;fåfängt;energiskt;sällsynt;resultatlöst;försiktigt;imponerande;resultatlöst
2025;1;förfoga över;ha;ge;byta;ta;få;ha
2025;1;gedigen;solid;konkret;effektiv;realistisk;uppskattad;solid
2025;1;gensvar;reflektion;påpekande;klargörande;upprepning;respons;respons
2025;1;hålla till godo med;samtycka till;nöja sig med;förvänta sig;roa sig med;ge tillstånd till;nöja sig med
2025;1;intervention;avbrott;stödfunktion;ingripande;förmedling;inaktivitet;ingripande
2025;1;klandervärt;välgörande;oskyldigt;förkastligt;otänkbart;förvånande;förkastligt
2025;1;kontroversiell;obegriplig;kritisk;omtvistad;angelägen;omdömeslös;omtvistad
2025;1;länsa;putsa;fånga;lossa;tömma;sänka;tömma
2025;1;olidlig;osannolik;svår att förstå;oanständig;bekymmerslös;omöjlig att uthärda;omöjlig att uthärda
2025;1;parafras;omskrivning;inledning;förkortning;överläggning;utvidgning;omskrivning
2025;1;vånda;ångest;avsmak;uppgivenhet;saknad;ansträngning;ångest
2025;1;återstoden;slutet;resten;minnet;svaret;reprisen;resten
2025;2;attribut;villkor;innehåll;begåvning;utfyllnad;kännetecken;kännetecken
2025;2;eterisk;giftig;flyktig;explosiv;frätande;trögflytande;flyktig
2025;2;frekventera;besöka ofta;variera;justera noga;gradera;hålla koll på;besöka ofta
2025;2;gondol;mur;kärra;torn;kruka;båt;båt
2025;2;hektar;ytmått;viktenhet;tyngdpunkt;längdmått;volymenhet;ytmått
2025;2;hereditär;smittsam;ärftlig;långvarig;inbillad;allvarlig;ärftlig
2025;2;huskur;fönsternisch;helrenovering;spontan hyllning;invigningsfest;folklig behandlingsmetod;folklig behandlingsmetod
2025;2;i paritet med;med hänsyn till;samtidig med;medskyldig till;likvärdig med;med hjälp av;likvärdig med
2025;2;lägga band på sig;ändra sig;behärska sig;koncentrera sig;bestämma sig;förbättra sig;behärska sig
2025;2;maskopi;hemligt samförstånd;oväntat bakslag;pinsamt misslyckande;falsk identitet;underjordisk rörelse;hemligt samförstånd
2025;2;möda;tvång;stress;motgång;tröghet;ansträngning;ansträngning
2025;2;obemedlad;hemlös;fattig;arbetslös;ensam;tanklös;fattig
2025;2;offert;faktura;affärsplan;beställning;kostnadsförslag;orderbekräftelse;kostnadsförslag
2025;2;perforera;snygga till;visa upp;sätta fast;vika ihop;göra hål i;göra hål i
2025;2;proportionerlig;relativt stor;felfri;noga genomtänkt;neutral;väl avpassad;väl avpassad
2025;2;raffinemang;överflöd;urskiljning;komplikation;uppskattning;förfining;förfining
2025;2;sedermera;på en gång;då och då;när som helst;så småningom;för länge sedan;så småningom
2025;2;snarstucken;svårfångad;oansvarig;lättstött;oförsiktig;snabbtänkt;lättstött
2025;2;trångsynt;glömsk;pessimistisk;ouppmärksam;fördomsfull;kritisk;fördomsfull
2025;2;underrätta;stötta;tona ner;informera;läxa upp;förolämpa;informera
2026;1;banal;nördig;typisk;alldaglig;obildad;klumpig;alldaglig
2026;1;diffus;underlig;avskild;oklar;tudelad;skiftande;oklar
2026;1;eftertrakta;ta reda på;följa efter;härma;vilja ha;fundera på;vilja ha
2026;1;erinra sig;undersöka;minnas;lugna sig;avvakta;invänta;minnas
2026;1;fadäs;elakt skämt;kort vistelse;påminnelse;oförutsedd utgift;pinsamt misstag;pinsamt misstag
2026;1;för egen maskin;med kraft;frivilligt;utan hjälp;själviskt;på rutin;utan hjälp
2026;1;hjärtefråga;känslig fråga;angelägen fråga;evig fråga;närgången fråga;spontan fråga;angelägen fråga
2026;1;ingalunda;inte alls;i onödan;undantagsvis;otillräckligt;ingenstans;inte alls
2026;1;kontentan;slutfasen;höjdpunkten;första intrycket;motsvarigheten;huvudinnehållet;huvudinnehållet
2026;1;kröna;besegra;omforma;inhägna;fullända;överskrida;fullända
2026;1;miserabel;eländig;vilsen;bitter;plågsam;otrevlig;eländig
2026;1;plombering;avskärmning;omledning;försegling;urgröpning;återställning;försegling
2026;1;potential;stor skicklighet;inneboende möjligheter;sannolikt resultat;betydande framgångar;starka förhoppningar;inneboende möjligheter
2026;1;prognos;besked;utvärdering;sammanfattning;förutsägelse;redovisning;förutsägelse
2026;1;slug;ivrig;otäck;girig;envis;listig;listig
2026;1;unikum;något som är evigt;något som är ensamt i sitt slag;något som är dyrbart;något som är i ständig förändring;något som är väl känt;något som är ensamt i sitt slag
2026;1;upprätthålla;ge styrka åt;ta upp någons tid;ligga till grund för;bevara på en viss nivå;visa upp en snygg fasad;bevara på en viss nivå
2026;1;utomordentlig;märklig;förhastad;oavsiktlig;förträfflig;noggrann;förträfflig
2026;1;utsikter;möjligheter;upplevelser;önskemål;föreställningar;synpunkter;möjligheter
2026;1;välvillig;fast besluten;pålitlig;optimistisk;följsam;sympatiskt inställd;sympatiskt inställd
2000;1;tingest;föremål;nymodighet;utsmyckning;tomhet;innehåll;föremål
2000;1;substitut;minskning;undantag;tillägg;underhåll;ersättning;ersättning
2000;1;attestera;upplysa;intyga;besluta;avlyssna;påbörja;intyga
2000;1;crescendo;lågmält prat;moraliskt förfall;oväntat möte;växande tonstyrka;högtidligt avsked;växande tonstyrka
2000;1;bestickning;förlust;lån;avdrag;försäljning;muta;muta
2000;1;status quo;plötslig förändring;motsatt effekt;oförändrat tillstånd;ständig rörelse;märkbar skillnad;oförändrat tillstånd
2000;1;konkret;påtaglig;kortfattad;fullständig;godkänd;slutgiltig;påtaglig
2000;1;idas;dra sig till minnes;avstå från;förmå sig till;ägna sig åt;lägga märke till;förmå sig till
2000;1;kontext;sammanhang;förändring;bekräftelse;åskådlighet;överläggning;sammanhang
2000;1;överloppsgärning;onödig handling;avvaktande hållning;förebyggande åtgärd;generöst erbjudande;oväntad hjälp;onödig handling
2000;1;förmena;missunna;förlåta;övertala;inbilla;beskydda;missunna
2000;1;geschäft;spelskulder;språksvårigheter;skvallertidningar;skumraskaffärer;skepparhistorier;skumraskaffärer
2000;1;bronkit;kikhosta;luftrörskatarr;halsfluss;lungsäcksinflammation;bihåleinflammation;luftrörskatarr
2000;1;perception;fulländning;genomträngande;omskrivning;avståndstagande;varseblivning;varseblivning
2000;1;anstånd;försök;uppskov;utökning;bidrag;skäl;uppskov
2000;1;brandskatta;lura;anfalla;plundra;besegra;hota;plundra
2000;1;skabrös;argsint;intetsägande;oanständig;tillgjord;ängslig;oanständig
2000;1;rimma;torka;röka;salta;steka;pressa;salta
2000;1;drista sig till;vägra;hoppas på;ana;häpna över;våga;våga
2000;1;ök;daggmask;dragdjur;grustag;mögelsvamp;vattentorn;dragdjur
2000;1;grassera;dränka;fastna;härja;fånga;dölja;härja
2000;1;härförleden;nyligen;ofta;hädanefter;ibland;senare;nyligen
2000;1;underblåsa;tvingas in i;ta avstånd från;betala för lite för;ge näring åt;uttrycka ogillande över;ge näring åt
2000;1;förbindlig;tjatig och efterhängsen;frikostig och generös;flyktig och omedgörlig;öm och kärleksfull;artig och tillmötesgående;artig och tillmötesgående
2000;1;dedicera;avleda;omarbeta;sammanfatta;slutföra;tillägna;tillägna
2000;1;janusansikte;föredöme;gaphals;uppkomling;dubbelnatur;kvinnotjusare;dubbelnatur
2000;1;gerbera;smycke;sång;klänning;dans;blomma;blomma
2000;1;somatisk;lindrig;obotlig;kroppslig;naturlig;överkänslig;kroppslig
2000;1;defaitism;uppgivenhet;oordning;hänsynslöshet;sönderfall;härsklystnad;uppgivenhet
2000;1;bära syn för sägen;aktivt ge sitt stöd åt;vara på sin vakt mot;få skulden för;gå händelserna i förväg;tydligt vittna om;tydligt vittna om
2000;1;rön;rättigheter;anvisningar;möjligheter;bestämmelser;iakttagelser;iakttagelser
2000;1;demonstrativ;utmanande;avväpnande;nedslående;förebyggande;besvärande;utmanande
2000;1;bida;tillägga;avvakta;förmedla;uppmuntra;bevilja;avvakta
2000;1;undersätsig;kortväxt och kraftig;smutsig och ovårdad;tystlåten och blyg;långsam och grundlig;ful och frånstötande;kortväxt och kraftig
2000;1;föreläggande;kortfattad information;ålagd skyldighet;skarp tillrättavisning;sista tillfälle;tidig reservation;ålagd skyldighet
2000;1;lastbar;omoralisk;hederlig;oförstående;mångsidig;oskyldig;omoralisk
2000;1;damejeanne;bred tygrulle;elektrisk värmedyna;stor glasflaska;liten bordslampa;rutigt kuddöverdrag;stor glasflaska
2000;1;distinktion;jämförelse;begränsning;åtskillnad;fördelning;sammanblandning;åtskillnad
2000;1;kuschad;vilseledd;utstött;nedtryckt;utlevad;bortskämd;nedtryckt
2000;1;med förlov sagt;med beklagande av sorgen;med hopp om snart återseeende;med bindande löfte;med väl valda ord;med ursäkt för min rättframhet PROVET ÄR SLUT. OM DU HAR TID ÖVER, GÅ TILLBAKA OCH KONTROLLERA DINA SVAR.;med ursäkt för min rättframhet PROVET ÄR SLUT. OM DU HAR TID ÖVER, GÅ TILLBAKA OCH KONTROLLERA DINA SVAR.
2001;1;pipett;förstoringsglas;fint rör;sårklämma;liten flaska;nålspets;fint rör
2001;1;liera sig med;stöta sig med;nöja sig med;jämföra sig med;roa sig med;förena sig med;förena sig med
2001;1;i sporrsträck;i full fart;i takt med;i god tid;i sista stund;i ett svep;i full fart
2001;1;pretentiös;outvecklad;förebyggande;ursprunglig;anspråksfull;nyfiken;anspråksfull
2001;1;utlysa;klarlägga;vägleda;tillkännage;undersöka;besluta;tillkännage
2001;1;missmod;likgiltighet;rädsla;ånger;förakt;nedslagenhet;nedslagenhet
2001;1;velour;tygsort;klänning;rispapper;djurhud;språkljud;tygsort
2001;1;makulera;intyga riktigheten av;göra ogiltig;planmässigt ordna;skriva av;skriva ut räkning åt;göra ogiltig
2001;1;abstraktion;stor skillnad;frihet;tankeskapelse;orimlighet;meningslöst arbete;tankeskapelse
2001;1;affektionsvärde;bytesvärde;bruksvärde;mervärde;känslovärde;kulturvärde;känslovärde
2001;1;metamorfos;indelning;förvandling;spridning;framställning;granskning;förvandling
2001;1;kratsa;spänna;bryta;skrapa;forma;slänga;skrapa
2001;1;renommé;anseende;mod;förstånd;tillit;vilja;anseende
2001;1;rådrum;uppdrag;utfrågning;invändning;samverkan;betänketid;betänketid
2001;1;kollegial;lojal;sparsam;beläst;praktisk;flitig;lojal
2001;1;inkarnera;erövra;förkroppsliga;belysa;åstadkomma;påbörja;förkroppsliga
2001;1;exposé;hetsig diskussion;offentligt löfte;oeftergivligt krav;snäv tolkning;översiktlig framställning;översiktlig framställning
2001;1;lukrativ;långrandig;tilldragande;tilltrasslad;vinstgivande;underhållande;vinstgivande
